date,datatype,station,attributes,value
2013-11-26T00:00:00,WESF,GHCND:US1COAR0246,"T,,N,0900",0.0
2013-11-27T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0900",0.0
2013-11-28T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0900",0.0
2013-11-29T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0900",0.0
2013-11-30T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0900",0.0
2013-12-02T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0900",0.0
2013-12-03T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2013-12-04T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0912",0.15
2013-12-04T00:00:00,WESF,GHCND:US1COAR0246,",,N,0912",0.1
2013-12-10T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.0
2013-12-11T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-12-12T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2013-12-13T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2013-12-14T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.0
2013-12-15T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-12-16T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-12-17T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-12-18T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-12-19T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.0
2013-12-26T00:00:00,WESD,GHCND:US1COAR0246,",,N,0900",0.0
2013-12-27T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0900",0.0
2013-12-28T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0900",0.0
2014-05-22T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.15
2014-05-23T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.41
2014-05-24T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.14
2014-05-26T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0600",0.02
2014-05-27T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2014-05-28T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2014-05-29T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0700",0.0
2014-05-30T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0800",0.0
2014-05-31T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2014-06-01T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2014-06-02T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2014-06-04T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2014-06-05T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.16
2014-06-06T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2014-06-07T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2014-06-08T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2014-06-09T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.76
2014-06-10T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2014-06-11T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2014-06-13T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0700",0.0
2014-06-15T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.19
2014-06-19T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0824",0.13
2014-06-20T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2014-06-22T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0730",0.0
2014-06-23T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0700",0.0
2014-06-24T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.01
2014-06-25T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.02
2014-06-26T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2014-06-27T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.01
